Product Name,brand,Image URL,Price,mst,desc,hex,product_type,product,imgSrc,price,makeup_products,products
SUGAR POP Volumizing Mascara,SUGAR POP,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/02/DPTWBTB-8.jpg,,Rich,Beautiful sugar pop volumizing mascara for a flawless finish,#822197,Mascara,SUGAR POP Volumizing Mascara,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/02/DPTWBTB-8.jpg,,,
Perversion Waterproof Liquid Eyeliner,Urban Decay Cosmetics,https://media.ulta.com/i/ulta/2546731?w=1080&h=1080&fmt=auto,25.0,Light,Beautiful perversion waterproof liquid eyeliner for a flawless finish,#f1971f,Eyeliner,Perversion Waterproof Liquid Eyeliner,https://media.ulta.com/i/ulta/2546731?w=1080&h=1080&fmt=auto,25.0,,
Tarte Maracuja Juicy Lip Vinyl,Tarte,https://media.ulta.com/i/ulta/2621932?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,Deep,Beautiful tarte maracuja juicy lip vinyl for a flawless finish,#522da8,Lipstick,Tarte Maracuja Juicy Lip Vinyl,https://media.ulta.com/i/ulta/2621932?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,,
Skin Fetish Divine Blush - Divine Rose Iii,PAT McGRATH LABS,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/5/3/538f5dd843004111316_1.jpg",3800.0,Rich,Beautiful skin fetish divine blush - divine rose iii for a flawless finish,#1bf508,Blush,Skin Fetish Divine Blush - Divine Rose Iii,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/5/3/538f5dd843004111316_1.jpg",3800.0,,
Swiss Beauty Twinkle Town Pressed Glitter Palettes,Swiss Beauty,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue296/eyeshadow-palettes_11.jpg,,Deep,Beautiful swiss beauty twinkle town pressed glitter palettes for a flawless finish,#016930,Makeup,Swiss Beauty Twinkle Town Pressed Glitter Palettes,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue296/eyeshadow-palettes_11.jpg,,,
"SUGAR POP Waterproof Eyeliner Pencil - Intense Black Pigment, Sweatproof Waterproof Matte 01 Black",SUGAR POP,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/5/1524ea8SUGAG00000034_1.jpg",299.0,Rich,"Beautiful sugar pop waterproof eyeliner pencil - intense black pigment, sweatproof waterproof matte 01 black for a flawless finish",#529f8f,Eyeliner,"SUGAR POP Waterproof Eyeliner Pencil - Intense Black Pigment, Sweatproof Waterproof Matte 01 Black","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/5/1524ea8SUGAG00000034_1.jpg",299.0,,
Fit Me Dewy + Smooth Foundation,Maybelline,https://media.ulta.com/i/ulta/2225223?w=1080&h=1080&fmt=auto,10.99,Rich,Beautiful fit me dewy + smooth foundation for a flawless finish,#087776,Foundation,Fit Me Dewy + Smooth Foundation,https://media.ulta.com/i/ulta/2225223?w=1080&h=1080&fmt=auto,10.99,,
Benefit Cosmetics Roller Liner Eyeliner Mini,Benefit Cosmetics,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/05/makeup-minis-6.jpg,,Deep,Beautiful benefit cosmetics roller liner eyeliner mini for a flawless finish,#ceb2aa,Eyeliner,Benefit Cosmetics Roller Liner Eyeliner Mini,https://images-static.naikaa.com/beauty-blog/wp-content/uploads/2024/05/makeup-minis-6.jpg,,,
Conceal + Perfect Longwear Concealer,Milani,https://media.ulta.com/i/ulta/2546825?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,Medium,Beautiful conceal + perfect longwear concealer for a flawless finish,#bc66d1,Concealer,Conceal + Perfect Longwear Concealer,https://media.ulta.com/i/ulta/2546825?w=400&$ProductCardNeutralBGLight$&fmt=auto,10.99,,
The Derma Co 2% Niacinamide Hydrating BB Cream With 1% Hyaluronic Acid & Aquaxyl,The Derma Co,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/9/79106248904417307870_1.jpg",359.0,Medium,Beautiful the derma co 2% niacinamide hydrating bb cream with 1% hyaluronic acid & aquaxyl for a flawless finish,#596114,Makeup,The Derma Co 2% Niacinamide Hydrating BB Cream With 1% Hyaluronic Acid & Aquaxyl,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/9/79106248904417307870_1.jpg",359.0,,
Colorbar Matte Me As I Am Lipcolor,Colorbar,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/9/8904052432135_1.jpg",779.0,Deep,Beautiful colorbar matte me as i am lipcolor for a flawless finish,#a7307a,Lipstick,Colorbar Matte Me As I Am Lipcolor,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/9/8904052432135_1.jpg",779.0,,
Clinique Even Better Refresh Hydrating and Repairing Makeup Foundation,Clinique,https://media.ulta.com/i/ulta/2541677?w=400&$ProductCardNeutralBGLight$&fmt=auto,42.0,Deep,Beautiful clinique even better refresh hydrating and repairing makeup foundation for a flawless finish,#d5873d,Foundation,Clinique Even Better Refresh Hydrating and Repairing Makeup Foundation,https://media.ulta.com/i/ulta/2541677?w=400&$ProductCardNeutralBGLight$&fmt=auto,42.0,,
Daily Life Forever52 Makeup Fixer Spray - Matte Finish,Daily Life Forever52,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/2/2/224ceb83592497561012_KMF001.png",1212.0,Deep,Beautiful daily life forever52 makeup fixer spray - matte finish for a flawless finish,#9fff37,Makeup,Daily Life Forever52 Makeup Fixer Spray - Matte Finish,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/2/2/224ceb83592497561012_KMF001.png",1212.0,,
Charlotte Tilbury Charlotte's Magic Serum Crystal Elixir,Charlotte Tilbury,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/1/b13841c5060542728331.jpg",8150.0,Deep,Beautiful charlotte tilbury charlotte's magic serum crystal elixir for a flawless finish,#c337ec,Makeup,Charlotte Tilbury Charlotte's Magic Serum Crystal Elixir,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/1/b13841c5060542728331.jpg",8150.0,,
Halo Glow Liquid Filter,e.l.f. Cosmetics,https://media.ulta.com/i/ulta/2604923?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,Deep,Beautiful halo glow liquid filter for a flawless finish,#53468b,Makeup,Halo Glow Liquid Filter,https://media.ulta.com/i/ulta/2604923?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,,
Vitamin C Glow Boosting Moisturiser,The Body Shop,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue194/game-changing01.jpg,,Light,Beautiful vitamin c glow boosting moisturiser for a flawless finish,#e6b706,Makeup,Vitamin C Glow Boosting Moisturiser,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue194/game-changing01.jpg,,,
"Benefit Cosmetics Precisely, My Brow Pencil",Benefit Cosmetics,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/5/7/5778938602004071347_01.jpg",2800.0,Rich,"Beautiful benefit cosmetics precisely, my brow pencil for a flawless finish",#61052c,Makeup,"Benefit Cosmetics Precisely, My Brow Pencil","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/5/7/5778938602004071347_01.jpg",2800.0,,
MAC Lip Liner Pencil,MAC,https://media.ulta.com/i/ulta/2510600?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,Rich,Beautiful mac lip liner pencil for a flawless finish,#ef0913,Lipstick,MAC Lip Liner Pencil,https://media.ulta.com/i/ulta/2510600?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,,
Mothership X: Moonlit Seduction,PAT McGRATH LABS,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/0/609317aPATMC00000411_1.jpg",10355.0,Medium,Beautiful mothership x: moonlit seduction for a flawless finish,#581dc6,Makeup,Mothership X: Moonlit Seduction,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/0/609317aPATMC00000411_1.jpg",10355.0,,
Rose Water Defining Styling Gel,tgin,https://media.ulta.com/i/ulta/2563402?w=1080&h=1080&fmt=auto,15.99,Deep,Beautiful rose water defining styling gel for a flawless finish,#0711d6,Makeup,Rose Water Defining Styling Gel,https://media.ulta.com/i/ulta/2563402?w=1080&h=1080&fmt=auto,15.99,,
Dior Forever Fluid Skin Glow Foundation,Dior,https://media.ulta.com/i/ulta/2605019?w=100&$ProductCardNeutralBGLight$&fmt=auto,57.0,Rich,Beautiful dior forever fluid skin glow foundation for a flawless finish,#0cdf00,Foundation,Dior Forever Fluid Skin Glow Foundation,https://media.ulta.com/i/ulta/2605019?w=100&$ProductCardNeutralBGLight$&fmt=auto,57.0,,
"Nail Lacquer Nail Polish, Pinks",OPI,https://media.ulta.com/i/ulta/2618119?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,Light,"Beautiful nail lacquer nail polish, pinks for a flawless finish",#0a067d,Makeup,"Nail Lacquer Nail Polish, Pinks",https://media.ulta.com/i/ulta/2618119?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,,
Erborian CC Water with Hyaluronic Acid,Erborian,https://media.ulta.com/i/ulta/2579206?w=400&$ProductCardNeutralBGLight$&fmt=auto,46.0,Light,Beautiful erborian cc water with hyaluronic acid for a flawless finish,#8f2386,Makeup,Erborian CC Water with Hyaluronic Acid,https://media.ulta.com/i/ulta/2579206?w=400&$ProductCardNeutralBGLight$&fmt=auto,46.0,,
PÜR Liquid Chisel Brush,PÜR,https://media.ulta.com/i/ulta/2248947?w=400&$ProductCardNeutralBGLight$&fmt=auto,22.0,Light,Beautiful pür liquid chisel brush for a flawless finish,#67f2f4,Makeup,PÜR Liquid Chisel Brush,https://media.ulta.com/i/ulta/2248947?w=400&$ProductCardNeutralBGLight$&fmt=auto,22.0,,
Lightweight HD Pro Creamy Concealer,L.A. Girl,https://media.ulta.com/i/ulta/2505345?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.49,Deep,Beautiful lightweight hd pro creamy concealer for a flawless finish,#9565bf,Concealer,Lightweight HD Pro Creamy Concealer,https://media.ulta.com/i/ulta/2505345?w=400&$ProductCardNeutralBGLight$&fmt=auto,5.49,,
Hydromaniac Hydrating Dewy Foundation,Urban Decay Cosmetics,https://media.ulta.com/i/ulta/2567739?w=400&$ProductCardNeutralBGLight$&fmt=auto,35.0,Light,Beautiful hydromaniac hydrating dewy foundation for a flawless finish,#a3a891,Foundation,Hydromaniac Hydrating Dewy Foundation,https://media.ulta.com/i/ulta/2567739?w=400&$ProductCardNeutralBGLight$&fmt=auto,35.0,,
M.A.C True Or False Lashes - 85 Sexpot Lash,M.A.C,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/b/0b89677773602606108_1.jpg",2150.0,Medium,Beautiful m.a.c true or false lashes - 85 sexpot lash for a flawless finish,#f26729,Mascara,M.A.C True Or False Lashes - 85 Sexpot Lash,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/b/0b89677773602606108_1.jpg",2150.0,,
A-Shaba Complex Eye Serum,Drunk Elephant,https://media.ulta.com/i/ulta/2606314?w=400&$ProductCardNeutralBGLight$&fmt=auto,64.0,Rich,Beautiful a-shaba complex eye serum for a flawless finish,#2c5b51,Makeup,A-Shaba Complex Eye Serum,https://media.ulta.com/i/ulta/2606314?w=400&$ProductCardNeutralBGLight$&fmt=auto,64.0,,
PAC 2D Beauty Blender,PAC,https://www.nykaa.com/beauty-blog/wp-content/uploads/2023/12/beauty-blenders-3.jpg,695.0,Light,Beautiful pac 2d beauty blender for a flawless finish,#b189b3,Makeup,PAC 2D Beauty Blender,https://www.nykaa.com/beauty-blog/wp-content/uploads/2023/12/beauty-blenders-3.jpg,695.0,,
Mamaearth Glow Serum Foundation With Vitamin C & Turmeric For 12-hour Long Stay,Mamaearth,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/3/6/36047888906087778288_1.jpg",539.0,Rich,Beautiful mamaearth glow serum foundation with vitamin c & turmeric for 12-hour long stay for a flawless finish,#86bd1a,Foundation,Mamaearth Glow Serum Foundation With Vitamin C & Turmeric For 12-hour Long Stay,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/3/6/36047888906087778288_1.jpg",539.0,,
Tarte Maracuja Creaseless Corrector,Tarte,https://media.ulta.com/i/ulta/2624740?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0,Light,Beautiful tarte maracuja creaseless corrector for a flawless finish,#8d13cd,Makeup,Tarte Maracuja Creaseless Corrector,https://media.ulta.com/i/ulta/2624740?w=400&$ProductCardNeutralBGLight$&fmt=auto,30.0,,
TYPE Beauty Soak It Hydra Jelly Tint,TYPE Beauty,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/c/f/cf1f7ea8906155674795.jpg",759.0,Deep,Beautiful type beauty soak it hydra jelly tint for a flawless finish,#790828,Makeup,TYPE Beauty Soak It Hydra Jelly Tint,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/c/f/cf1f7ea8906155674795.jpg",759.0,,
M.A.C Glow Play Tender Talk Lip Balm,M.A.C,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/7/77570fe773602713226_1.jpg",3000.0,Rich,Beautiful m.a.c glow play tender talk lip balm for a flawless finish,#189ad9,Lipstick,M.A.C Glow Play Tender Talk Lip Balm,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/7/77570fe773602713226_1.jpg",3000.0,,
Pixi + Hello Kitty Makeup Fixing Mist,Pixi,https://media.ulta.com/i/ulta/2598118?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.0,Rich,Beautiful pixi + hello kitty makeup fixing mist for a flawless finish,#f667db,Makeup,Pixi + Hello Kitty Makeup Fixing Mist,https://media.ulta.com/i/ulta/2598118?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.0,,
Peter Thomas Roth Instant FIRMx Collagen Bounce Stick,Peter Thomas Roth,https://media.ulta.com/i/ulta/2623406?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0,Medium,Beautiful peter thomas roth instant firmx collagen bounce stick for a flawless finish,#a3718e,Makeup,Peter Thomas Roth Instant FIRMx Collagen Bounce Stick,https://media.ulta.com/i/ulta/2623406?w=400&$ProductCardNeutralBGLight$&fmt=auto,36.0,,
NYX Professional Makeup Bare With Me Hydrating Face & Body Concealer Serum,NYX Professional Makeup,https://media.ulta.com/i/ulta/2587599?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.0,Medium,Beautiful nyx professional makeup bare with me hydrating face & body concealer serum for a flawless finish,#34cd3e,Concealer,NYX Professional Makeup Bare With Me Hydrating Face & Body Concealer Serum,https://media.ulta.com/i/ulta/2587599?w=400&$ProductCardNeutralBGLight$&fmt=auto,12.0,,
Backline Liquid Eyeliner,af94,https://media.ulta.com/i/ulta/2619238?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.0,Rich,Beautiful backline liquid eyeliner for a flawless finish,#e1132a,Eyeliner,Backline Liquid Eyeliner,https://media.ulta.com/i/ulta/2619238?w=400&$ProductCardNeutralBGLight$&fmt=auto,8.0,,
"Ras Luxury Oils Oh So Luxe Lip & Cheek Tint Balm with Vitamin E, Shea Butter",Ras Luxury Oils,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/0/0077627RASLU00000017_0.jpg",818.0,Rich,"Beautiful ras luxury oils oh so luxe lip & cheek tint balm with vitamin e, shea butter for a flawless finish",#344927,Lipstick,"Ras Luxury Oils Oh So Luxe Lip & Cheek Tint Balm with Vitamin E, Shea Butter","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/0/0077627RASLU00000017_0.jpg",818.0,,
e.l.f. Cosmetics Glossy Lip Stain,e.l.f. Cosmetics,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/9/f9931468136693_1.jpg",675.0,Rich,Beautiful e.l.f. cosmetics glossy lip stain for a flawless finish,#b76eab,Lipstick,e.l.f. Cosmetics Glossy Lip Stain,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/9/f9931468136693_1.jpg",675.0,,
Lotus Make-Up Ecostay Gel Eye Definer,Lotus Make-Up,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/0/806360540015_2new.jpg",506.0,Rich,Beautiful lotus make-up ecostay gel eye definer for a flawless finish,#407b46,Makeup,Lotus Make-Up Ecostay Gel Eye Definer,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/8/0/806360540015_2new.jpg",506.0,,
Volume and Glow Holiday Makeup Gift Set Limited Edition,Dior,https://media.ulta.com/i/ulta/2632018?w=400&$ProductCardNeutralBGLight$&fmt=auto,113.0,Rich,Beautiful volume and glow holiday makeup gift set limited edition for a flawless finish,#e32eb8,Makeup,Volume and Glow Holiday Makeup Gift Set Limited Edition,https://media.ulta.com/i/ulta/2632018?w=400&$ProductCardNeutralBGLight$&fmt=auto,113.0,,
Hueglow Jumbo Liquid Highlighter Drops,Live Tinted,https://media.ulta.com/i/ulta/2588676?w=400&$ProductCardNeutralBGLight$&fmt=auto,38.0,Medium,Beautiful hueglow jumbo liquid highlighter drops for a flawless finish,#43a04c,Highlighter,Hueglow Jumbo Liquid Highlighter Drops,https://media.ulta.com/i/ulta/2588676?w=400&$ProductCardNeutralBGLight$&fmt=auto,38.0,,
Insight Cosmetics All Things Good Kit,Insight Cosmetics,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/d/0d7ef2eINSIG00000668_01n.jpg",2027.0,Rich,Beautiful insight cosmetics all things good kit for a flawless finish,#a78688,Makeup,Insight Cosmetics All Things Good Kit,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/d/0d7ef2eINSIG00000668_01n.jpg",2027.0,,
PÜR 4-In-1 Love Your Selfie Longwear Foundation & Concealer,PÜR,https://media.ulta.com/i/ulta/2544516?w=100&$ProductCardNeutralBGLight$&fmt=auto,38.0,Rich,Beautiful pür 4-in-1 love your selfie longwear foundation & concealer for a flawless finish,#a27f20,Foundation,PÜR 4-In-1 Love Your Selfie Longwear Foundation & Concealer,https://media.ulta.com/i/ulta/2544516?w=100&$ProductCardNeutralBGLight$&fmt=auto,38.0,,
NYX Professional Makeup Worth The Hype Volumizing Mascara,NYX Professional Makeup,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue234/NYX-Professional3.jpg,,Light,Beautiful nyx professional makeup worth the hype volumizing mascara for a flawless finish,#7f675f,Mascara,NYX Professional Makeup Worth The Hype Volumizing Mascara,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue234/NYX-Professional3.jpg,,,
"Maybelline New York High Impact Tattoo Pen Liner, Lasts Up To 48H - Black, Water & Smudge-proof",Maybelline New York,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/a/3/a398c606902395740353-newadd_1.jpg",479.0,Rich,"Beautiful maybelline new york high impact tattoo pen liner, lasts up to 48h - black, water & smudge-proof for a flawless finish",#484361,Makeup,"Maybelline New York High Impact Tattoo Pen Liner, Lasts Up To 48H - Black, Water & Smudge-proof","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/a/3/a398c606902395740353-newadd_1.jpg",479.0,,
Smashbox Photo Finish Primerizer+ Hydrating Primer with Triple Hyaluronic Acid- Travel Size,Smashbox,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/2/726f650SMASH00000132_3.jpg",1750.0,Light,Beautiful smashbox photo finish primerizer+ hydrating primer with triple hyaluronic acid- travel size for a flawless finish,#a3c43b,Makeup,Smashbox Photo Finish Primerizer+ Hydrating Primer with Triple Hyaluronic Acid- Travel Size,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/2/726f650SMASH00000132_3.jpg",1750.0,,
Touch Base For Eyes Eyeshadow Primer,Clinique,https://media.ulta.com/i/ulta/2153507?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,Light,Beautiful touch base for eyes eyeshadow primer for a flawless finish,#c00a68,Foundation,Touch Base For Eyes Eyeshadow Primer,https://media.ulta.com/i/ulta/2153507?w=400&$ProductCardNeutralBGLight$&fmt=auto,25.0,,
Bare With Me Blur Tint Soft Matte Foundation,NYX Professional Makeup,https://media.ulta.com/i/ulta/2601293?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,Medium,Beautiful bare with me blur tint soft matte foundation for a flawless finish,#cf23a3,Foundation,Bare With Me Blur Tint Soft Matte Foundation,https://media.ulta.com/i/ulta/2601293?w=400&$ProductCardNeutralBGLight$&fmt=auto,14.0,,
Lakme Eyeconic Curling Mascara,Lakme,http://nykaa.com/beauty-blog/wp-content/uploads/images/issue202/31-The-Top-Ten-Lakme-Products.jpg,,Deep,Beautiful lakme eyeconic curling mascara for a flawless finish,#f5036b,Mascara,Lakme Eyeconic Curling Mascara,http://nykaa.com/beauty-blog/wp-content/uploads/images/issue202/31-The-Top-Ten-Lakme-Products.jpg,,,
Brow Definer 3-in-1 Triangle Tip Easy Precision Eyebrow Pencil,Anastasia Beverly Hills,https://media.ulta.com/i/ulta/2297660?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,Light,Beautiful brow definer 3-in-1 triangle tip easy precision eyebrow pencil for a flawless finish,#face52,Makeup,Brow Definer 3-in-1 Triangle Tip Easy Precision Eyebrow Pencil,https://media.ulta.com/i/ulta/2297660?w=400&$ProductCardNeutralBGLight$&fmt=auto,26.0,,
e.l.f. Cosmetics 16HR Camo Concealer,e.l.f. Cosmetics,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/0/609332858602.jpg",899.0,Light,Beautiful e.l.f. cosmetics 16hr camo concealer for a flawless finish,#45fa96,Concealer,e.l.f. Cosmetics 16HR Camo Concealer,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/6/0/609332858602.jpg",899.0,,
Travel-Size Maneater Volumizing Mascara,Tarte,https://media.ulta.com/i/ulta/2537049?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.0,Light,Beautiful travel-size maneater volumizing mascara for a flawless finish,#e29265,Mascara,Travel-Size Maneater Volumizing Mascara,https://media.ulta.com/i/ulta/2537049?w=400&$ProductCardNeutralBGLight$&fmt=auto,15.0,,
